,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,ticker
153,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,1986,DLTR
154,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,D
155,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,DPZ
156,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905,1955,DOV
157,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019,DOW
158,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,DTE
159,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,DUK
160,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017,DD
161,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,1688568,2017,DXC
162,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920,EMN
163,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,ETN
164,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,1065088,1995,EBAY
165,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,ECL
166,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,EIX
167,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,EW
168,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982,EA
169,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014,ELV
170,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,LLY
171,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,EMR
172,Enphase,Information Technology,Electronic Components,"Fremont, California",2021-01-07,1463101,2006,ENPH
173,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,ETR
174,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,EOG
175,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993,EPAM
176,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,EQT
177,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,EFX
178,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1101239,1998,EQIX
179,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,EQR
180,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",2014-04-02,920522,1971,ESS
181,The Estée Lauder Companies,Consumer Staples,Personal Products,"New York City, New York",2006-01-05,1001250,1946,EL
182,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2020-09-21,1370637,2005,ETSY
183,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973,RE
184,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,EVRG
185,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009-01-01,72741,1966,ES
186,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,EXC
187,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,1324424,1996,EXPE
188,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,EXPD
189,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,EXR
190,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,XOM
191,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,FFIV
192,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237,1978,FDS
193,Fastenal,Industrials,Building Products,"Winona, Minnesota",2008-09-15,815556,1967,FAST
194,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,FRT
195,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,FDX
196,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,FITB
197,First Republic Bank,Financials,Regional Banks,"San Francisco, California",2019-01-02,1132979,1985,FRC
198,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494,1999,FSLR
199,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,FE
200,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006-11-10,1136893,1968,FIS
201,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001-04-02,798354,1984,FISV
202,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2018-06-20,1175454,2000,FLT
203,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,1883,FMC
204,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,F
205,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000,FTNT
206,Fortive,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,1659166,2016,FTV
207,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2013-07-01,1754301,2019,FOXA
208,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2015-09-18,1754301,2019,FOX
209,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,BEN
210,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,831259,1912,FCX
211,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989,GRMN
212,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,IT
213,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",2023-01-04,1932393,1994,GEHC
214,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,849399,1982,GEN
215,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,GNRC
216,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899,GD
217,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,GE
218,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704,1856,GIS
219,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,GM
220,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31,40987,1925,GPC
221,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,GILD
222,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,1900,GL
223,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,1123360,2000,GPN
224,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,886982,1869,GS
225,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919,HAL
226,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766,1810,HIG
227,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,1923,HAS
228,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,1968,HCA
229,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,765880,1985,PEAK
230,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,1932,HSIC
231,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894,HSY
232,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447,1919,HES
233,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015,HPE
234,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689,1919,HLT
235,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,1985,HOLX
236,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,HD
237,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1964-03-31,773840,1906,HON
238,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,1891,HRL
239,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1993,HST
240,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964-03-31,4281,2016,HWM
241,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939,HPQ
242,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,HUM
243,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866,HBAN
244,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,2011,HII
245,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911,IBM
246,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09,832101,1988,IEX
247,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983,IDXX
248,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826,1912,ITW
249,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803,1998,ILMN
250,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991,INCY
251,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",2020-03-03,1699150,1859,IR
252,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,INTC
253,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949,2000,ICE
254,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,51434,1898,IP
255,The Interpublic Group of Companies,Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961,IPG
256,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958,IFF
257,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,INTU
258,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,ISRG
259,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,IVZ
260,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,INVH
261,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,IQV
262,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951,IRM
263,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535,1961,JBHT
264,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,779152,1976,JKHY
265,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,J
266,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,JNJ
267,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885,JCI
268,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000,JPM
269,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996,JNPR
270,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,55067,1906,K
271,Keurig Dr Pepper,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",2022-06-21,1418135,1981,KDP
272,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,KEY
273,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014,KEYS
274,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,KMB
275,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101,1958,KIM
276,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,KMI
277,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977,KLAC
278,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015,KHC
279,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,KR
280,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,2019,LHX
281,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,LH
282,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,707549,1980,LRCX
283,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016,LW
284,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,LVS
285,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969,LDOS
286,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,LEN
287,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,59558,1905,LNC
288,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925,1879,LIN
289,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,LYV
290,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998,LKQ
291,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468,1995,LMT
292,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",,60086,1959,L
293,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,LOW
294,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,18926,1983,LUMN
295,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393,2007,LYB
296,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856,MTB
297,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778,1887,MRO
298,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009,MPC
299,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000,MKTX
300,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,MAR
301,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905,MMC
302,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,MLM
303,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,MAS
304,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966,MA
305,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986,MTCH
306,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,MKC
307,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,MCD
308,McKesson,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,MCK
309,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949,MDT
310,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,MRK
311,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,META
312,MetLife,Financials,Life & Health Insurance,"New York City, New York",,1099219,1868,MET
313,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945,MTD
314,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570,1986,MGM
315,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,MCHP
316,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,MU
317,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,MSFT
318,Mid-America Apartment Communities,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,MAA
319,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010,MRNA
320,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878,MHK
321,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,1179929,1980,MOH
322,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,2005,TAP
323,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,MDLZ
324,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997,MPWR
325,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,865752,2012,MNST
326,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",,1059556,1909,MCO
327,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",,895421,1935,MS
328,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004,MOS
329,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928,MSI
330,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969,MSCI
331,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971,NDAQ
332,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047,1992,NTAP
333,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,NFLX
334,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,814453,1903,NWL
335,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,NEM
336,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013,NWSA
337,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013,NWS
338,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984,NEE
339,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,NKE
340,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912,NI
341,Nordson Corporation,Industrials,Industrial Machinery,"Westlake, Ohio",2022-02-15,72331,1935,NDSN
342,Norfolk Southern Railway,Industrials,Railroads,"Atlanta, Georgia",1957-03-04,702165,1881/1894,NSC
343,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889,NTRS
344,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421,1994,NOC
345,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011,NCLH
